url,state,constituency,osn,candidate_name,total_votes,vote_percent,evm_votes,party,postal_votes
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,1,Anil Kumar Gali,279621,24.31,279442,Indian National Congress,179
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,2,Kotha Prabhakar Reddy,596048,51.82,595830,Telangana Rashtra Samithi,218
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,3,Madavaneni Raghunandan Rao,201567,17.52,201243,Bharatiya Janata Party,324
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,4,Bharatesh,2445,0.21,2442,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,5,Madhava Reddy Gari Hanmantha Reddy,2624,0.23,2624,Shivsena,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,6,Merige Santhosh Reddy,1483,0.13,1482,Pyramid Party of India,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,7,Kallu Narsimlu Goud,3523,0.31,3523,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,8,Gajabhinkar Bansilal,14711,1.28,14711,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,9,Thummalapally Pruthviraj,18813,1.64,18813,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,10,Bangaru Krishna,13998,1.22,13997,Independent,1
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS296.htm?ac=6,Telangana,Medak,11,NOTA,15390,1.34,15383,None of the Above,7
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,1,POTHUGANTI RAMULU,499672,50.48,499428,Telangana Rashtra Samithi,244
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,2,DR MALLU RAVI,309924,31.31,309732,Indian National Congress,192
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,3,B YOSEF,12474,1.26,12457,Bahujan Samaj Party,17
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,4,SHRUTHI BANGARU ALIAS BANGARU SHRUTHI,129021,13.03,128686,Bharatiya Janata Party,335
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,5,V AMARNATH,2015,0.2,2012,India Praja Bandhu Party,3
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,6,GADDAM VIJAY,1750,0.18,1750,Bahujan Mukti Party,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,7,KARVANGA SHARATH,1852,0.19,1848,Independent,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,8,CHARAGONDA KRISHNAMMA,2276,0.23,2276,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,9,PRABHUDAS BANDARU THUMU,3466,0.35,3466,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,10,BAAKI RENUKA,3960,0.4,3960,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,11,SRINIVAS BUDDULA,9912,1,9912,Independent,0
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2912.htm?ac=12,Telangana,Nagarkurnool,12,NOTA,13525,1.37,13521,None of the Above,4
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,1,UTTAM KUMAR REDDY NALAMADA,526028,44.74,525508,Indian National Congress,520
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,2,GARLAPATI JITHENDRA KUMAR,52709,4.48,52559,Bharatiya Janata Party,150
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,3,MALLU LAXMI,25089,2.13,25062,Communist Party of India  (Marxist),27
http://results.eci.gov.in/pc/en/constituencywise/ConstituencywiseS2913.htm?ac=13,Telangana,Nalgonda,4,VEMIREDDY NARASIMHA REDDY,500346,42.56,500120,Telangana Rashtra Samithi,226
